planning 25751
land 19748
development 18247
housing 18122
urban 15727
public 15021
city 14973
plan 14395
new 14386
local 13963
use 13084
also 10248
one 9594
may 9534
community 9377
would 9192
th 9155
growth 8922
area 8855
state 8275
planners 8211
cities 7529
data 7426
government 6854
many 6821
th_the 6722
social 6506
areas 6382
policy 6350
table 6348
time 6284
two 6185
process 5986
program 5890
economic 5869
neighborhood 5803
population 5714
research 5703
however 5674
residents 5601
number 5518
regional 5368
study 5336
model 4985
change 4979
within 4900
communities 4834
design 4829
work 4804
used 4772
use_land_use 4763
water 4714
could 4702
figure 4682
environmental 4667
residential 4659
building 4610
programs 4518
different 4493
project 4475
management 4472
metropolitan 4421
percent 4417
county 4400
level 4389
less 4379
people 4373
transportation 4352
transit 4350
analysis 4314
important 4306
first 4258
information 4200
neighborhoods 4186
projects 4182
per 4157
system 4146
states 4128
plans 4127
well 4082
even 4014
among 3988
example 3986
policies 3955
years 3928
value 3920
three 3784
support 3779
al 3769
private 3761
market 3745
income 3728
results 3692
service 3638
costs 3630
et 3561
dquo 3555
group 3548
et_al 3548
studies 3542
central 3540
higher 3500
often 3484
space 3474
large 3462
high 3444
federal 3435
case 3401
households 3390
much 3363
likely 3361
quality 3360
using 3351
fi 3343
although 3333
cost 3326
property 3320
provide 3296
parking 3285
control 3276
thus 3267
see 3266
units 3263
average 3252
survey 3214
region 3211
political 3210
travel 3176
total 3145
national 3142
based 3130
american 3107
found 3091
local_governments 3087
increase 3062
rate 3056
construction 3047
zoning 3028
suburban 3000
approach 2992
groups 2980
small 2963
environment 2951
vol 2943
future 2940
employment 2939
whether 2932
access 2927
year 2919
home 2891
make 2848
must 2836
since 2820
rather 2806
part 2798
issues 2782
variables 2781
census 2781
effects 2774
unit 2763
form 2762
include 2748
density 2708
significant 2697
need 2697
major 2664
changes 2663
impact 2635
might 2623
problems 2617
industrial 2610
existing 2603
including 2586
second 2578
capital 2547
california 2545
buildings 2541
characteristics 2540
school 2538
made 2525
services 2524
several 2522
general 2521
models 2520
role 2517
street 2515
effect 2512
way 2503
size 2501
practice 2484
set 2433
infrastructure 2432
low 2421
potential 2420
factors 2409
greater 2390
business 2384
like 2360
metropolitan_areas 2353
demand 2349
united 2343
available 2323
department 2320
built 2314
place 2311
location 2309
spatial 2279
participation 2262
associated 2258
agencies 2258
without 2256
affordable 2256
physical 2237
variable 2236
period 2231
jobs 2228
rural 2224
university 2206
household 2201
problem 2188
developed 2176
interest 2170
act 2163
comprehensive 2161
measures 2160
differences 2144
commercial 2144
association 2136
san 2111
increased 2110
job 2106
center 2089
resources 2088
efforts 2085
better 2083
little 2080
given 2080
climate 2080
facilities 2079
conditions 2066
district 2058
another 2054
site 2029
current 2028
least 2025
levels 2024
four 2021
activity 2021
developers 2020
types 2015
tax 2011
respondents 2006
individual 1991
staff 1989
sector 1988
result 1984
percentage 1973
lower 1965
rail 1950
united_states 1946
activities 1940
making 1923
children 1919
across 1914
regional_planning 1911
strategies 1908
systems 1907
spring 1900
traffic 1899
rates 1898
possible 1893
others 1893
goals 1890
million 1889
park 1888
sites 1885
recent 1885
values 1879
education 1878
early 1878
similar 1877
energy 1875
particular 1871
decision 1871
shows 1867
help 1864
decisions 1861
action 1856
winter 1830
yet 1825
limited 1817
autumn 1817
york 1816
influence 1816
summer 1814
included 1812
open 1803
source 1791
type 1778
larger 1778
downtown 1778
cases 1771
reduce 1769
literature 1768
homes 1765
uses 1764
needs 1764
housing_units 1761
real 1760
interests 1757
good 1744
implementation 1740
new_york 1734
urban_areas 1733
focus 1727
redevelopment 1705
overall 1699
still 1695
benefits 1691
agency 1691
price 1689
life 1684
journal 1679
office 1677
sample 1667
world 1666
regulations 1663
measure 1662
share 1654
ways 1653
show 1650
terms 1648
counties 1647
article 1644
range 1640
required 1637
power 1634
scale 1633
impacts 1631
funding 1631
become 1629
traditional 1627
firms 1621
members 1611
additional 1611
natural 1602
point 1600
outside 1600
using_public_housing 1594
specific 1594
evidence 1588
investment 1587
supply 1586
review 1586
affordable_housing 1586
theory 1570
patterns 1568
apa 1568
economic_development 1565
related 1563
toward 1561
question 1560
health 1560
fact 1558
los 1555
code 1555
expected 1550
angeles 1540
strong 1538
long 1533
take 1527
opportunities 1525
living 1524
distance 1522
suggest 1520
bus 1518
mean 1517
either 1517
third 1515
council 1513
key 1510
common 1508
difference 1495
age 1495
relationship 1494
los_angeles 1492
town 1486
provided 1484
report 1483
particularly 1477
following 1475
chicago 1473
create 1472
historic 1464
address 1461
generally 1456
signifi 1455
context 1455
requirements 1448
addition 1447
alternative 1446
located 1444
professional 1439
low_income 1439
develop 1439
order 1438
organizations 1435
commission 1433
reported 1431
places 1431
relatively 1425
questions 1425
strategy 1424
growth_management 1424
though 1423
single 1422
participants 1417
streets 1414
methods 1413
outcomes 1411
experience 1411
capacity 1408
lack 1407
view 1402
standards 1401
suggests 1399
authority 1399
means 1396
various 1395
pattern 1384
require 1382
behavior 1377
regions 1374
nd 1374
