planning 33070
development 15937
land 15688
urban 15611
community 12983
city 12946
public 12589
local 12245
new 12100
plan 11745
use 11235
housing 10981
also 10386
one 10090
th 9857
social 9486
may 8927
percent 8133
process 8099
th_the 7552
research 7340
area 7147
planners 6911
neighborhood 6905
would 6865
policy 6651
government 6203
economic 6150
many 6088
state 6046
study 6037
environmental 6023
two 5915
within 5872
however 5814
time 5805
work 5787
cities 5758
people 5578
residents 5526
data 5517
different 5276
model 5178
communities 5169
analysis 5152
growth 4995
design 4946
areas 4787
change 4760
table 4712
used 4623
first 4619
number 4615
population 4583
neighborhoods 4569
project 4557
regional 4529
system 4495
important 4473
level 4366
al 4205
program 4194
political 4152
group 4105
case 4101
could 4066
transit 4064
example 4061
well 4057
students 4003
et 3981
space 3972
et_al 3953
use_land_use 3949
plans 3942
environment 3942
studies 3881
food 3798
among 3753
transportation 3681
three 3679
see 3665
often 3645
practice 3583
approach 3570
quality 3536
less 3529
value 3515
even 3503
participation 3491
impact 3380
based 3378
policies 3370
issues 3344
results 3332
information 3326
knowledge 3274
market 3265
figure 3258
school 3247
projects 3235
management 3228
support 3215
provide 3191
parking 3190
need 3180
role 3172
groups 3158
spatial 3140
building 3138
years 3070
high 3053
rather 3043
significant 3041
much 3032
programs 3025
income 3023
thus 3010
education 2995
higher 2992
part 2978
place 2967
likely 2965
states 2949
form 2945
theory 2942
future 2933
residential 2881
travel 2874
survey 2866
although 2854
way 2835
power 2831
households 2831
service 2810
metropolitan 2810
per 2800
home 2771
found 2759
problems 2739
particular 2734
article 2734
density 2733
using 2730
literature 2727
national 2709
action 2701
access 2699
large 2697
make 2695
including 2647
whether 2642
individual 2637
might 2592
potential 2591
set 2587
second 2579
since 2578
cultural 2562
private 2537
focus 2535
street 2530
variables 2524
learning 2521
region 2511
activities 2511
organizations 2507
physical 2505
given 2496
made 2486
making 2479
include 2474
decision 2472
services 2420
characteristics 2418
census 2418
must 2412
changes 2395
health 2394
county 2394
average 2379
terms 2371
central 2356
built 2348
specific 2342
several 2341
increase 2333
outcomes 2314
needs 2306
university 2304
factors 2296
resources 2295
water 2292
like 2289
goals 2288
members 2286
existing 2284
total 2283
context 2275
associated 2275
sustainability 2270
small 2270
employment 2265
problem 2257
decisions 2248
control 2247
variable 2240
property 2240
general 2232
capital 2228
infrastructure 2212
without 2209
household 2206
greater 2195
participants 2194
models 2186
processes 2183
federal 2170
others 2164
equity 2159
strategies 2154
across 2145
ways 2106
relationship 2094
united 2092
result 2091
rural 2079
better 2075
another 2075
interest 2074
good 2066
effects 2040
influence 2039
respondents 2027
construction 2006
conditions 2002
values 1996
efforts 1995
effect 1989
understanding 1986
major 1964
experience 1959
rate 1957
developed 1955
zoning 1949
activity 1949
cases 1936
sustainable 1920
local_governments 1902
increased 1895
location 1894
related 1882
implementation 1881
cost 1877
four 1871
world 1867
type 1863
similar 1847
low 1839
agencies 1839
schools 1833
toward 1820
business 1815
included 1810
center 1808
limited 1807
life 1804
help 1804
concerns 1804
least 1798
take 1789
types 1775
possible 1771
differences 1771
current 1769
natural 1768
point 1766
act 1764
interests 1751
common 1751
means 1747
benefits 1741
question 1740
recent 1735
costs 1735
living 1731
us 1725
sector 1723
demand 1721
become 1717
united_states 1713
size 1713
capacity 1712
critical 1706
particularly 1705
findings 1705
little 1698
impacts 1698
department 1698
key 1697
commercial 1697
site 1695
nature 1693
course 1690
year 1689
lack 1688
tax 1683
questions 1681
measures 1676
methods 1675
unit 1674
poor 1673
still 1672
levels 1672
evaluation 1668
yet 1662
choice 1658
period 1657
sense 1651
available 1649
around 1647
range 1646
various 1642
district 1641
organization 1635
council 1630
places 1628
children 1625
provided 1617
percentage 1616
therefore 1614
opportunities 1614
institutional 1613
open 1607
framework 1602
suggest 1601
following 1581
comprehensive 1581
scale 1579
relationships 1577
price 1565
address 1565
larger 1564
present 1557
evidence 1557
approaches 1557
addition 1555
systems 1551
structure 1548
especially 1548
society 1547
source 1546
involved 1542
american 1540
units 1538
decision_making 1538
informal 1522
economy 1516
individuals 1509
early 1509
attention 1504
new_urbanist 1494
developers 1493
patterns 1486
past 1485
discussion 1482
professional 1480
overall 1480
suburban 1478
practices 1477
fact 1474
agency 1472
working 1471
strong 1467
generally 1460
production 1459
identified 1459
view 1458
extent 1458
share 1450
multiple 1450
traffic 1449
measure 1444
traditional 1442
positive 1441
issue 1441
institutions 1436
importance 1435
suggests 1432
alternative 1432
lower 1419
behavior 1418
office 1410
find 1406
five 1398
municipal 1395
sample 1389
develop 1386
create 1377
formal 1375
affordable 1370
show 1368
along 1368
required 1364
process_planning_process 1359
staff 1356
park 1353
skills 1351
association 1349
climate 1347
provides 1344
distance 1341
considered 1338
review 1334
real 1327
mean 1325
los 1321
human 1318
section 1317
officials 1315
outside 1314
metropolitan_areas 1314
downtown 1314
industry 1307
despite 1302
regional_planning 1296
long 1291
walking 1289
concept 1287
justice 1286
uses 1285
strategy 1285
economic_development 1284
effective 1283
facilities 1281
difficult 1279
finally 1277
either 1276
note 1275
field 1275
global 1270
third 1268
able 1266
women 1265
compared 1263
new_urbanism 1262
labor 1262
forms 1262
california 1260
low_income 1257
south 1254
angeles 1254
diversity 1253
shows 1248
green 1248
difference 1248
funding 1246
actions 1232
buildings 1231
empirical 1230
rights 1229
single 1228
san 1227
ability 1222
understand 1219
degree 1213
regions 1212
ideas 1211
history 1208
best 1207
expected 1206
los_angeles 1205
according 1202
technical 1201
york 1200
principles 1200
response 1196
increasing 1194
together 1193
relatively 1193
beyond 1189
use_planning 1187
urban_areas 1187
networks 1186
faculty 1185
courses 1183
streets 1181
certain 1180
effort 1178
car 1173
student 1172
performance 1171
implications 1171
negative 1162
industrial 1160
clear 1159
pattern 1158
located 1158
created 1157
identify 1156
risk 1152
investment 1148
assessment 1148
sites 1147
poverty 1146
new_york 1144
focused 1144
collaborative 1143
complex 1137
interviews 1136
tract 1134
order 1133
concern 1131
consider 1128
spaces 1125
resource 1123
governance 1121
town 1120
sprawl 1120
reduce 1116
trips 1115
jobs 1114
criteria 1114
workers 1113
reported 1110
north 1110
additional 1108
block 1106
diverse 1105
defined 1104
proposed 1100
science 1099
lead 1099
international 1098
instead 1097
interaction 1095
independent 1095
developing 1093
actors 1092
redevelopment 1091
primary 1083
network 1081
landscape 1080
relative 1075
established 1075
status 1072
basis 1072
highly 1070
movement 1069
appropriate 1069
energy 1067
transport 1065
factor 1064
dquo 1064
times 1063
line 1063
culture 1063
categories 1061
build 1061
age 1056
described 1054
communicative 1052
necessary 1050
improve 1048
class 1047
scholars 1041
authority 1037
aspects 1036
variety 1034
objectives 1034
challenges 1034
black 1033
families 1032
noted 1031
opportunity 1030
adopted 1030
pedestrian 1029
standards 1028
though 1027
directly 1027
sources 1026
safety 1026
researchers 1023
retail 1015
automobile 1015
providing 1013
far 1013
countries 1013
direct 1012
stakeholders 1011
core 1010
significantly 1008
offer 1008
elements 1008
arts 1006
financial 1004
planning_education 1003
live 1003
law 1003
taken 1001
planner 1001
end 1001
relations 1000
million 1000
job 997
perspective 996
promote 994
distribution 994
report 993
main 993
participatory 990
contrast 986
collective 986
